1,Harry Potter and the Cursed Child,Tyson Nichols,French,"Fantasy,comedy,Romance,Drama,Fiction",0,___,,1
2,The Girl on the Train,Grady Baxter,French,"Satire Horror,Romance,Tragic,Drama,Fantasy",0,___,,0
3,Me Before You,Brad Gonzales,Chinese,"Fantasy,Mythology,Science,comedy,Adventure",0,___,,0
4,Killing the Rising Sun,Tessa Hayes,English,"Drama,Fiction,Science,Adventure,comedy",0,___,,0
5,Miss Peregrine’s Home for Peculiar Children,Alec Cisneros,Portuguese,"comedy,Tragedy,comedy,Mythology,Satire Horror",0,___,,0
6,The Whistler,Rene Boyer,Portuguese,"Science,comedy,Tragedy,Tragic,Tragic",0,___,,0
7,Double Down: Diary of a Wimpy Kid,Delia Peters,French,"Adventure,Drama,Fantasy,Fantasy,Tragic",0,___,,0
8,A Man Called Ove,Wes Friedman,Arabic,"Fantasy,Romance,Drama,Adventure,Mythology",0,___,,0
9,The Nightingale,Lily Meyer,Arabic,"Mythology,comedy,Action,Mystery,Adventure",0,___,,0
10,When Breath Becomes Air,Colin Hansen,Chinese,"Fantasy,Tragic,Tragedy,Drama,Romance",0,___,,0
11,The Life-Changing Magic of Tidying Up,Gwen Mcconnell,Chinese,"Tragedy,Tragedy,Satire Horror,Romance,Fiction",0,___,,0
12,After You,,French,"Fiction,Adventure,Mystery,Mythology,Fiction",0,___,,0
13,Fantastic Beasts and Where to Find Them,Chas Fowler,Hindu,"Action,Science,Satire Horror,Mystery,Tragedy",0,___,,0
14,The Last Mile,,Farsi,"Adventure,Mythology,Action,Mystery,Science",0,___,,0
15,"Oh, the Places You’ll Go!",Mamie Turner,Chinese,"Science,Mythology,Action,Tragedy,Science",0,___,,0
16,Alexander Hamilton,Graig Huffman,Portuguese,"Mystery,Tragedy,Tragedy,Tragic,Action",0,___,,0
17,The Trials of Apollo: The Hidden Oracle,Allen Mckinney,French,"Mythology,Drama,comedy,Fantasy,Tragic",0,___,,0
18,All the Light We Cannot See,Drew Arias,Chinese,"comedy,Science,Science,comedy,Action",0,___,,0
19,StrengthsFinder 2.0,Jill Farmer,Portuguese,"Tragedy,comedy,Tragedy,Science,comedy",0,___,,0
20,Hillbilly Elegy,Oscar Kirby,Arabic,"Romance,Fantasy,comedy,Science,Satire Horror",0,___,,0
21,Two by Two,Lola Gordon,Arabic,"Satire Horror,Tragic,Mythology,Fantasy,Science",0,___,,0
22,Harry Potter and the Sorcerer’s Stone,Vance Stanley,French,"Tragedy,Tragedy,Adventure,Adventure,Drama",0,___,,0
23,15th Affair,Homer Maldonado,Portuguese,"Fantasy,Tragic,Mystery,Tragedy,Fiction",0,___,,0
24,The Magnolia Story,Nolan Jordan,French,"Tragedy,Fiction,Romance,Adventure,Fiction",0,___,,0
25,Night School,Adela Moore,Arabic,"Tragedy,Romance,Tragic,Action,Mystery",0,___,,0
26,First 100 Words,Heath Rasmussen,Farsi,"Tragedy,Mystery,Adventure,Romance,Adventure",0,___,,0
27,Milk and Honey,Gay Strong,English,"Romance,Satire Horror,Action,Fiction,Tragic",0,___,,0
28,The 5 Love Languages,Susan Lutz,Farsi,"Fantasy,Mystery,Drama,comedy,Romance",0,___,,0
29,To Kill a Mockingbird,Sol Hancock,English,"comedy,Tragedy,Adventure,comedy,Fiction",0,___,,0
30,The Girl in the Ice,Pam Abbott,French,"Science,comedy,Fantasy,comedy,Science",0,___,,0
31,Born to Run,Sybil Mathews,Chinese,"Mythology,Adventure,Satire Horror,Tragedy,Drama",0,___,,0
32,Rogue Lawyer,Ann Shepard,French,"Adventure,Mythology,Romance,Tragic,Fantasy",0,___,,0
33,The Wrong Side of Goodbye,Mara Velasquez,Portuguese,"Fiction,Romance,comedy,Romance,Drama",0,___,,0
34,No Man's Land,Buddy Melendez,Chinese,"Satire Horror,Mythology,Action,Romance,Adventure",0,___,,0
35,One With You,Clyde Morrison,Farsi,"Mythology,Romance,Mythology,Fiction,Adventure",0,___,,0
36,Turbo Twenty-Three,,French,"Romance,Fantasy,Mystery,Tragic,Mythology",0,___,,0
37,The Light Between Oceans,Luz Wells,French,"Tragedy,Mythology,Romance,Adventure,Drama",0,___,,0
38,Small Great Things,Tracy Davila,Chinese,"Mystery,Satire Horror,Tragic,Science,Fantasy",0,___,,0
39,Truly Madly Guilty,Todd Morris,French,"Adventure,Mystery,Drama,Satire Horror,Mystery",0,___,,0
40,The 5th Wave,Clair Wilson,Chinese,"Mystery,Fantasy,Romance,Satire Horror,Mystery",0,___,,0
41,The Underground Railroad,Dante Neal,Farsi,"Mythology,Drama,Romance,comedy,Action",0,___,,0
42,Hamilton: The Revolution,Beau Pearson,Chinese,"comedy,Drama,comedy,Tragic,Drama",0,___,,0
